GA_Id,Name,YE_Id,Comment,Filename,FileToRun,FilenameIndex,ScrnshotFilename,MU_Id,GE_Id,PU_Id,DI_Id,CR_Id,SidFilename,DateLastPlayed,TimesPlayed,CCode,HighScore,FA,SA,Fav,PR_Id,LA_Id,Extras,Classic,Rating,V_LoadingScreen,V_HighScoreSaver,V_IncludedDocs,V_PalNTSC,V_TrueDriveEmu,V_Length,V_Trainers,PlayersFrom,PlayersTo,PlayersSim,V_Comment,Adult,MemoText,Prequel,Sequel,Related,Control,CRC,Filesize,Version,Gemus,V_LengthType
19,"1944",28,"","0\1944_00019_01.zip","",0,"0\1944.png",39,153,626,8,226,"","",0,4,"",0,0,0,366,2,0,0,0,0,0,0,3,0,94,1,1,2,1,"",0,"",0,0,0,0,"",0,1,"",0
20,"1948",2,"","0\1948_00020_01.zip","",0,"0\1948.png",39,153,626,8,7,"","",0,4,"",0,0,0,367,2,0,0,0,0,0,0,3,0,93,0,1,1,0,"",0,"",0,0,0,0,"",0,1,"",0
21,"1985 - The Day After",25,"","0\1985_00021_01.zip","",0,"0\1985_-_The_Day_After.png",39,2,32,8,21,"","",0,4,"",0,0,0,1,2,1,0,0,1,1,1,3,0,84,5,1,1,0,"",0,"",0,0,14121,0,"",0,1,"",0
22,"1991 World Cup Knockout, The",31,"","0\1991WCUP_00022_01.zip","",0,"0\The_1991_World_Cup_Knockout.png",39,71,1643,8,1014,"","",0,4,"",0,0,0,931,2,0,0,0,0,0,0,3,0,66,0,1,1,0,"",0,"",0,0,0,0,"",0,1,"",0
23,"1994 - Ten Years After",24,"","0\1994_00023_02.zip","",0,"0\1994_-_Ten_Years_After.png",3519,11,105,8,8,"GAMES\0-9\1994-Ten_Years_After.sid","",0,4,"",0,0,0,896,2,1,0,0,0,0,0,3,0,39,3,1,1,0,"",0,"Keyboard controls:
------------------
^     = left
1     = right
SPACE = jump",0,0,0,2,"",0,2,"",0
24,"1st Division Manager",33,"","0\1STDIVIS_00024_01.zip","",0,"0\1st_Division_Manager.png",98,32,41,8,29,"MUSICIANS\S\Sonic_Graffiti\Gourley_Gerard\1st_Division_Manager.sid","",0,4,"",0,0,0,897,2,1,0,0,1,0,0,3,0,168,0,1,1,0,"",0,"",0,0,0,0,"",0,1,"",0
25,"Pi.R Squared",27,"","p1\PIRSQUAR_00025_02.zip","",0,"0\2_pi_r.png",52,57,113,8,108,"MUSICIANS\B\Brooke_Jason\Pi_r_Squared.sid","",0,4,"",0,0,0,898,2,1,0,0,1,0,1,3,0,242,1,1,1,0,"",0,"",0,0,0,1,"",0,2,"",0
26,"20 Tons",25,"","0\20TONS_00026_01.zip","",0,"0\20_Tons.png",2407,54,463,8,4,"GAMES\0-9\20_Tons.sid","",0,4,"",0,0,0,899,2,1,0,0,0,0,0,1,0,59,1,1,1,0,"",0,"",0,0,0,0,"",0,1,"",0
27,"20.000 Meilen unter dem Meer",28,"","0\20000mum_00027_01.zip","",0,"0\20000_Meilen_unter_dem_Meer.png",38,88,1379,8,1006,"","",0,4,"",0,0,0,900,3,0,0,0,0,0,1,3,1,304,0,1,1,0,"important label ""* 20000 SIDE 2 *""",0,"",0,0,0,2,"",0,1,"",0
28,"Year 2002",2,"","y\YEAR2002_00028_01.zip","",0,"0\Year_2002.png",1338,5,37,8,703,"","",0,4,"",0,0,0,762,2,0,0,0,0,0,0,3,0,56,0,1,1,0,"",0,"",0,0,0,1,"",0,1,"",0
29,"2010",2,"","0\2010_00029_01.zip","",0,"0\2010.png",39,153,626,8,7,"","",0,4,"",0,0,0,368,2,0,0,0,0,0,0,3,0,131,0,1,2,1,"",0,"",0,0,0,0,"",0,1,"",0
30,"2112 - The Battle for Planet Earth",32,"","0\2112_00030_01.zip","",0,"0\2112_-_The_Battle_For_Planet_Earth.png",2405,153,371,8,58,"GAMES\0-9\2112.sid","",0,4,"",0,0,0,261,2,0,0,0,0,0,1,3,0,206,3,1,1,0,"2 versions (trained / docs)",0,"",0,0,0,0,"",0,1,"",0
31,"221B Baker Street",26,"includes ""Case Library 1+2""","0\221BBAK0_00031_01.zip","221BBAK0.D64",0,"0\221B_Baker_Street.png",38,136,43,8,2,"GAMES\0-9\221B_Baker_Street.sid","",0,4,"",0,0,0,822,2,1,0,0,1,0,0,3,0,3,0,1,4,0,"",0,"",0,0,0,0,"",0,1,"",1
32,"2K-Fighter",32,"64'er 1992/12","0\2K-FIGHT_00032_01.zip","",0,"0\2K-Fighter.png",39,5,1882,8,7,"","",0,4,"1080",0,0,0,182,2,0,0,0,0,0,0,3,0,9,0,1,1,0,"",0,"",0,0,0,0,"",0,1,"",0
33,"3 x 3",27,"Input 64  1987/02","0\3X3_00033_01.zip","",0,"0\3_x_3.png",39,46,332,8,59,"","",0,4,"",0,0,0,691,3,0,0,0,0,0,0,3,0,44,0,1,3,0,"",0,"",0,0,0,2,"",0,1,"",0
34,"3-D Breakout",28,"Commodore Disk User 1988/07-08, Your Commodore 1990/03 (Tape #03)","0\3-DBREAK_00034_01.zip","",0,"0\3-D_Breakout.png",39,44,2599,8,21,"","",0,4,"",0,0,0,369,2,1,0,0,0,1,1,3,0,51,1,1,1,0,"",0,"",0,0,0,0,"",0,1,"",0
35,"3-D Labyrinth",24,"COMPUTE!'s Gazette 1984/12 (Issue #18)","0\3-DLABYR_00035_01.zip","",0,"0\3-D_Labyrinth.png",39,59,587,8,7,"","",0,4,"",0,0,0,1140,2,1,0,0,0,0,0,3,0,11,0,1,1,0,"",0,"",0,0,13689,0,"",0,1,"",0
36,"3-D Man",23,"","0\3-DMAN_00036_01.zip","",0,"0\3-D_Man.png",39,55,99,8,7,"","",0,4,"",0,0,0,901,2,0,0,0,0,0,0,3,0,15,0,1,1,0,"",0,"",0,0,43,1,"",0,1,"",0
37,"3-D Skramble",24,"","0\3DSKRAMB_00037_01.zip","",0,"0\3-D_Skramble.png",38,108,309,8,780,"GAMES\0-9\3D_Skramble.sid","",0,4,"23120",0,0,0,1,2,1,0,0,0,0,0,3,0,72,2,1,2,0,"",0,"",0,0,14163,0,"",0,1,"",0
38,"3-D Speedway",28,"COMPUTE!'s Gazette 1988/04 (Issue #58) / a.k.a. ""Computer Speedway""","0\3DSPEEDW_00038_01.zip","",0,"0\3-D_Speedway.png",39,70,587,8,7,"","",0,4,"",0,0,0,1244,2,1,0,0,0,0,0,3,0,13,0,1,1,0,"",0,"",0,0,0,0,"",0,1,"",0
39,"3-D Tic Tac Toe",4,"","0\3-DTICT2_00039_02.zip","",0,"0\3-D_Tic_Tac_Toe_v2.png",39,84,37,8,7,"","",0,4,"",0,0,0,1,2,0,0,0,0,0,1,1,0,24,0,1,1,0,"compiled version",0,"",0,0,20261,0,"",0,2,"",0
40,"3D Construction Kit",31,"","0\3DCONKIT_00040_01.zip","",0,"0\3D_Construction_Kit.png",39,168,1996,8,1,"","",0,4,"",0,0,0,6294,2,1,0,0,0,0,1,3,0,1,0,1,1,0,"",0,"",0,0,0,0,"",0,1,"",1
41,"3-D Glooper",23,"","0\3DGLOOPR_00041_01.zip","",0,"0\3-D_Glooper.png",39,55,183,8,47,"","",0,4,"7320",0,0,0,1,2,1,0,0,0,0,0,3,0,39,1,1,1,0,"",0,"",0,0,0,0,"",0,1,"",0
42,"3D Morris / 3D Mühle",2,"","0\3DMORRIS_00042_01.zip","",0,"0\3D_Morris.png",39,84,37,8,21,"","",0,4,"",0,0,0,1,9,0,0,0,0,0,0,3,0,33,0,1,1,0,"",0,"",0,0,0,0,"",0,1,"",0
43,"3D Pac Man",4,"","0\3DPACMAN_00043_01.zip","",0,"0\3D_Pac_Man.png",39,55,37,8,7,"","",0,4,"1340",0,0,0,901,3,0,0,0,0,0,0,3,0,17,0,1,1,0,"",0,"",0,0,36,1,"",0,1,"",0
44,"3D Reversi",27,"64'er Sonderheft 17","0\3DREVERS_00044_01.zip","",0,"0\3D_Reversi.png",39,84,1882,8,7,"","",0,4,"",0,0,0,255,3,0,0,0,0,0,0,3,0,14,0,2,2,0,"",0,"",0,0,0,0,"",0,1,"",0
45,"3D Scacchi Simulator",31,"","0\3DSCACCH_00045_01.zip","",1,"0\3D_Scacchi_Simulator.png",39,64,451,8,7,"","",0,4,"",0,0,0,902,2,0,0,0,1,0,1,3,0,225,0,1,2,0,"",0,"",0,0,0,0,"",0,1,"",0
46,"3D Spacewar, The",29,"Commodore Format 1995/05 (Issue #56)","0\3DSPACEW_00046_01.zip","",0,"0\The_3D_Spacewar.png",2519,153,371,8,7,"MUSICIANS\M\MC\Parallax.sid","",0,4,"",0,0,0,261,2,1,0,0,0,0,0,3,0,135,0,1,1,0,"",0,"Intro SID: MUSICIANS\B\Brian\Galways_Music_Style.sid",0,0,0,0,"",0,1,"",0
47,"3D Stock Cars II",31,"","0\3DSTOCK2_00047_01.zip","",0,"0\3D_Stock_Cars_II.png",39,23,573,8,66,"","",0,4,"",0,0,0,903,2,1,0,0,0,0,0,3,0,122,2,1,4,0,"",0,"",0,0,0,0,"",0,1,"",0
48,"3D Tic Tac Toe",24,"","0\3DTICT-E_00048_01.zip","",0,"0\3D_Tic_Tac_Toe.png",39,84,97,8,7,"","",0,4,"",0,0,0,90,2,0,0,0,0,0,0,3,0,16,0,1,1,0,"",0,"",0,0,15375,0,"",0,1,"",0
49,"3D Tic-Tac-Toe",24,"COMPUTE!'s Gazette 1984/06 (Issue #12) / game of ""The Big 100"" collection","0\3DTIC-TA_00049_01.zip","",0,"0\3D_Tic-Tac-Toe.png",39,84,587,8,7,"","",0,4,"",0,0,0,1141,2,1,0,0,0,0,0,3,0,11,0,2,2,1,"",0,"",0,0,0,0,"",0,1,"",0
50,"3D Time Trek",23,"a.k.a. ""Timetreck""","0\3DTIMETR_00050_01.zip","",0,"0\3D_Time_Trek.png",39,10,94,8,7,"","",0,4,"",0,0,0,521,2,1,0,0,0,0,0,3,0,74,0,1,1,0,"",0,"",0,0,0,0,"",0,1,"",0
51,"3D Waterski",24,"","0\3DWATERS_00051_01.zip","",0,"0\3D_Waterski.png",1356,39,59,8,780,"GAMES\0-9\3D_Waterski.sid","",0,4,"",0,0,0,265,2,1,0,0,0,0,0,3,0,33,1,1,1,0,"",0,"",0,0,0,0,"",0,1,"",0
52,"3D-Lab",28,"Happy Computer 1989/01","0\3D-LAB_00052_01.zip","",0,"0\3D-Lab.png",39,59,1883,8,7,"","",0,4,"",0,0,0,1508,3,0,0,0,0,0,0,3,0,8,0,1,1,0,"doesn't work - memory content $0a21-$0a29 is missing in the original listing, fix in later issue?",0,"",0,0,0,0,"",0,1,"",0
53,"3D-Vier-Gewinnt",24,"64'er 1984/12","0\3D4GEWIN_00053_01.zip","",0,"0\3D-Vier-Gewinnt.png",39,85,1882,8,7,"","",0,4,"",0,0,0,904,3,0,0,0,0,0,0,3,0,28,0,1,2,0,"",0,"",0,0,0,0,"",0,1,"",0
54,"3-D Zoom!",31,"","0\3-DZOOM_00054_02.zip","",0,"0\3-D_Zoom!.png",39,1,1889,8,59,"","",0,4,"",0,0,0,2635,2,0,0,0,0,0,0,3,0,22,0,1,1,0,"",0,"http://www.marky.com/programming",0,0,0,0,"",0,2,"",0
55,"4 by 4",38,"Loadstar #172","0\4BY4_00055_02.zip","",0,"0\4_By_4.png",39,85,542,8,44,"","",0,4,"",0,0,0,906,2,0,0,0,0,0,1,3,0,71,1,1,1,0,"",0,"",0,0,0,0,"",0,2,"",0
56,"4 gewinnt 2002",30,"64'er 1991/01","0\4GEWINNT_00056_01.zip","",0,"0\4_gewinnt_2002.png",39,85,1882,8,7,"","",0,4,"",0,0,0,1,3,0,0,0,0,0,0,3,0,5,0,2,2,0,"",0,"",0,0,0,0,"",0,1,"",0
57,"4 Soccer Simulators",29,"","0\4SOCCSIM_00057_01.zip","",0,"0\4_Soccer_Simulators.png",1358,32,41,8,13,"MUSICIANS\W\Whittaker_David\4_Soccer_Sims_Soccer_Skill.sid","",0,4,"",0,0,0,912,2,1,0,0,1,0,0,3,0,505,0,1,2,1,"4 separate parts",0,"",0,0,0,0,"",0,1,"",0
58,"4. Times Revlex",32,"64'er 1992/04","0\4TIMESRE_00058_01.zip","",0,"0\4._Times_Revlex.png",39,44,1882,8,7,"","",0,4,"",0,0,0,907,2,0,0,0,0,0,0,3,0,7,0,1,1,0,"",0,"",0,0,0,0,"",0,1,"",0
59,"Fourty Five",31,"Golden Disk 64  1991/07","f\45_00059_01.zip","",0,"0\45.png",85,86,1886,8,2,"MUSICIANS\G\Griff\45.sid","",0,4,"",0,0,0,850,2,0,0,0,0,1,0,3,0,71,2,1,1,0,"",0,"",0,0,0,0,"",0,1,"",0
60,"48 Hours [Preview]",36,"","0\48HOURS-_00060_01.zip","",0,"0\48_Hours_[Preview].png",800,94,3154,8,268,"MUSICIANS\S\Sonic\Double_Dragon_dragon_mix.sid","",0,4,"",0,0,0,2693,2,0,0,0,0,0,0,3,0,107,0,1,1,0,"",0,"",0,0,0,0,"",0,1,"",0
61,"4th & Inches",27,"Team Construction Disk is included","0\4THINCH_00061_01.zip","",0,"0\4th_&_Inches.png",128,52,106,8,203,"MUSICIANS\B\Bogas_Ed\4th_and_Inches.sid","",0,4,"",0,0,0,370,2,1,0,0,0,0,0,3,0,1,0,1,2,1,"",0,"",0,0,62,0,"",0,1,"",1
62,"4th & Inches Season Maker",29,"","0\4THINCHS_00062_01.zip","",0,"0\4th_&_Inches_Season_Maker.png",128,52,39,8,7,"MUSICIANS\B\Bogas_Ed\4th_and_Inches.sid","",0,4,"",0,0,0,371,2,0,0,0,0,0,0,3,0,586,0,1,2,1,"",0,"",0,0,61,0,"",0,1,"",0
63,"4x4 Off-Road Racing",28,"","0\4X4OFFR0_00063_01.zip","4X4OFFR0.D64",0,"0\4x4_Off-Road_Racing.png",3945,109,50,8,288,"GAMES\0-9\4x4_Off-Road_Racing.sid","",0,4,"",0,0,0,908,2,1,0,0,0,0,0,3,0,2,0,1,1,0,"",0,"",0,0,0,0,"",0,1,"",1
64,"5-Pin Bowling",24,"a.k.a. ""Championship Bowling""","0\5PINBOWL_00064_01.zip","",0,"0\5-Pin_Bowling.png",39,28,718,8,1651,"","",0,4,"",0,0,0,3025,2,0,0,0,0,1,0,3,0,59,0,1,4,0,"",0,"",0,0,14132,0,"",0,1,"",0
65,"500cc Grand Prix",27,"","0\500GRP-E_00065_01.zip","",0,"0\500cc_Grand_Prix.png",39,71,3105,8,2,"","",0,4,"",0,0,0,35,2,1,0,0,0,0,0,3,0,78,0,1,2,1,"",0,"",0,0,9059,0,"",0,1,"",0
66,"500cc. Motomanager",31,"","0\500CCMO0_00066_01.zip","500CCMO0.D64",0,"0\500cc._Motomanager.png",2549,71,451,8,61,"GAMES\0-9\500cc_Motomanager.sid","",0,4,"",0,0,0,328,14,1,0,0,1,0,0,3,0,2,0,1,2,0,"",0,"",0,0,0,0,"",0,1,"vtde=yes
",1
67,"Fifth Axis, The",26,"","f\5THAXIS_00067_01.zip","",0,"F\The_Fifth_Axis.png",83,91,2844,8,2,"MUSICIANS\S\Soulet_Gilles\Fifth_Axis.sid","",0,4,"",0,0,0,153,2,0,0,0,0,0,0,3,0,153,1,1,1,0,"",0,"",0,0,0,0,"",0,1,"",0
68,"5th Gear",28,"Commodore Format 1991/04 (Issue #07), Commodore Format 1993/01 (Issue #28)","0\5THGEAR_00068_01.zip","",0,"0\5th_Gear.png",82,25,881,8,3,"GAMES\0-9\5th_Gear.sid","",0,4,"",0,0,0,909,2,1,0,0,1,1,1,3,0,190,17,1,1,0,"",0,"",0,0,0,0,"",0,1,"",0
69,"5x5",37,"","0\5X5_00069_01.zip","",0,"0\5x5.png",1302,46,37,8,44,"MUSICIANS\R\Red_Devil\Hell_Raider.sid","",0,4,"",0,0,0,1,2,0,0,0,0,1,0,3,0,67,0,1,1,0,"",0,"Also used: MUSICIANS\R\Red_Devil\Moondance.sid",0,0,0,2,"",0,1,"",0
70,"64 Breakout",25,"","0\64BREAK1_00070_02.zip","",0,"0\64_Breakout_v1.png",39,44,3121,8,7,"","",0,4,"",0,0,0,1,2,1,0,0,0,0,0,3,0,13,0,1,1,0,"",0,"",0,0,11030,2,"",0,2,"",0
71,"64 Dragonmaster",2,"","0\64DRAG-N_00071_01.zip","",0,"0\64_Dragonmaster.png",39,2,39,8,7,"","",0,4,"",0,0,0,1103,7,0,0,0,0,0,0,3,0,14,0,1,1,0,"",0,"",0,0,9469,0,"",0,1,"",0
72,"64 Valley of Death",2,"","0\64VALLEY_00072_01.zip","",0,"0\64_Valley_of_Death.png",39,160,37,8,7,"","",0,4,"",0,0,0,1,2,0,0,0,0,0,0,3,0,3,0,1,1,0,"",0,"",0,0,0,0,"",0,1,"",0
73,"64'er Game, The",28,"64'er Sonderheft 37","0\64ERGAME_00073_01.zip","",0,"0\The_64'er_Game.png",38,2,1882,8,7,"GAMES\0-9\64er_Game.sid","",0,4,"",0,0,0,1129,2,0,0,0,0,0,0,3,0,21,0,1,1,0,"",0,"",0,0,0,0,"",0,1,"",0
74,"64-Dimensions Tic-Tac-Toe",33,"COMPUTE!'s Gazette 1994/01","0\64DIMENS_00074_01.zip","",0,"0\64-Dimensions_Tic-Tac-Toe.png",39,84,587,8,7,"","",0,4,"",0,0,0,2649,2,0,0,0,0,0,0,3,0,11,0,2,2,0,"",0,"",0,0,0,0,"",0,1,"",0
75,"64-Scene-Adventure, The",2,"","0\64SCENE_00075_01.zip","",0,"0\The_64-Scene-Adventure.png",455,93,39,8,7,"","",0,4,"",0,0,0,372,2,0,0,0,0,0,0,3,0,120,0,1,1,0,"",0,"",0,0,0,0,"",0,1,"",0
76,"64luff",2,"","0\64LUFF_00076_01.zip","",0,"0\64luff.png",39,136,909,8,7,"","",0,4,"",0,0,0,910,2,0,0,0,0,0,0,3,0,20,0,1,1,0,"version 3.0",0,"",0,0,0,0,"",0,1,"",0
77,"720°",27,"European version","0\720_00077_02.zip","",2,"0\720_Degrees.png",40,75,46,8,1514,"MUSICIANS\D\Daglish_Ben\720_Degrees.sid","",0,4,"",0,0,0,65,2,1,0,0,1,0,1,3,0,144,5,1,1,0,"",0,"",0,0,9690,0,"",0,2,"",0
78,"720° Part 2",27,"","0\720PART2_00078_02.zip","",0,"0\720_Degrees_Part_2.png",40,75,39,8,1514,"MUSICIANS\D\Daglish_Ben\720_Degrees.sid","",0,4,"",0,0,0,911,2,0,0,0,0,0,0,3,0,91,5,1,1,0,"",0,"",0,0,77,0,"",0,2,"",0
79,"9 to 5 Typing",24,"","0\9TO5_00079_01.zip","",0,"0\9_To_5_Typing.png",38,114,50,8,229,"GAMES\0-9\9_to_5_Typing.sid","",0,4,"",0,0,0,1,2,1,0,0,0,0,0,1,0,239,0,1,1,0,"",0,"",0,0,0,2,"",0,1,"",0
80,"911 Tiger Shark",25,"a.k.a. ""911 TS"" on cover","0\911TIGER_00080_01.zip","",0,"0\911_Tiger_Shark.png",37,25,40,8,780,"MUSICIANS\C\Cooksey_Mark\911_Tiger_Shark.sid","",0,4,"",0,0,0,285,2,1,0,0,0,0,0,3,0,77,2,1,1,0,"",0,"",0,0,0,0,"",0,1,"",0
81,"Aaargh!",29,"","a1\AAARGH!_00081_01.zip","",0,"A\Aaargh!.png",65,2,35,8,1,"MUSICIANS\B\Beben_Wally\Aaargh.sid","",0,4,"",0,0,0,953,2,1,0,0,0,0,0,3,0,140,4,1,2,1,"",0,"",0,0,0,0,"",0,1,"",0
82,"Aardvark",26,"","a1\AARDVARK_00082_01.zip","",0,"A\Aardvark.png",39,3,474,8,158,"","",0,4,"",0,0,0,5498,2,1,0,0,0,0,0,3,0,61,0,1,1,0,"",0,"",0,0,0,0,"",0,1,"",0
83,"Aaargh! Condor",23,"","a1\AARGH!_00083_01.zip","",0,"A\Aaargh!_Condor.png",39,5,269,8,7,"","",0,4,"",0,0,0,558,2,1,0,0,1,0,0,3,0,58,0,1,1,0,"",0,"",0,0,0,0,"",0,1,"",0
85,"ABC",35,"","a1\ABC_00085_01.zip","",0,"A\ABC.png",1361,42,1936,8,61,"","",0,4,"",0,0,0,827,2,0,0,0,0,1,0,3,0,88,0,1,1,0,"",0,"",0,0,0,0,"",0,1,"",0
86,"Abeceda",26,"","a1\ABECEDA_00086_01.zip","",0,"A\Abeceda.png",38,119,2876,8,7,"","",0,4,"",0,0,0,1672,16,0,0,0,0,0,0,3,0,127,0,1,1,0,"",0,"",0,0,0,0,"",0,1,"",0
87,"Abnormal Faction",5,"","a1\ABNORMAL_00087_01.zip","",0,"A\Abnormal_Faction.png",842,2,1937,8,21,"MUSICIANS\M\Marcy\Remembrance.sid","",0,4,"",0,0,0,1722,2,0,0,0,0,0,0,1,0,106,0,1,1,0,"",0,"Intro SID: MUSICIANS\M\Marcy\Innocent_Face.sid",0,0,0,0,"",0,1,"",0
88,"Abrakadabra",31,"64'er 1991/05","a1\ABRAKADA_00088_01.zip","",0,"A\Abrakadabra.png",39,2,1882,8,7,"","",0,4,"",0,0,0,1,2,0,0,0,0,0,0,3,0,8,0,1,1,0,"",0,"",0,0,0,0,"",0,1,"",0
89,"Abrasco Golf",23,"","a1\ABRAGOLF_00089_01.zip","",0,"A\Abrasco_Golf.png",39,34,826,8,7,"","",0,4,"",0,0,0,3164,2,1,0,0,0,0,1,3,0,127,0,1,2,0,"",0,"",0,0,17864,0,"",0,1,"",0
