PU_Id,Publisher
238,"Level 9 Computing"
239,"Sharedata, Inc."
240,"Empire"
247,"Artronic Products Ltd."
250,"Imagic"
251,"Magic Soft"
253,"Booze Design"
254,"Virgin Mastertronic"
256,"CBS Software"
257,"Pioneer Software, Inc."
258,"Digital Design"
259,"Commodore Format [Future Publishing]"
261,"Mindscape, Inc."
265,"Hi Tech Expressions, Inc./Walt Disney Co."
267,"Bytes and Bits"
268,"Family Software"
269,"Games Machine Ltd."
270,"Novagen Software"
271,"Illusion Software Ltd."
272,"Tigervision"
273,"Pandora"
274,"Orpheus"
275,"English Software"
276,"ET Computing"
277,"Flair Software Ltd."
279,"US Gold/Sega"
280,"Threshold Productions"
281,"Spinnaker Software"
282,"Mogul Communications Ltd."
283,"Ocean/Special FX"
284,"Funsoft, Inc."
286,"Addictive Games"
287,"State Soft"
291,"Parker Brothers"
292,"Microillusions"
293,"Bytebusters"
294,"Magna Media"
296,"Storm/The Sales Curve"
298,"SubLogic"
299,"Werner Soft"
301,"Bahamaware"
303,"Henrik Wening"
304,"Prickly Pear Software"
305,"Brillant Software"
306,"Anik Micro Systems"
309,"Livewire"
310,"Software Creations"
312,"Activision/Gamestar"
313,"Marex"
314,"Spectrum Holobyte"
316,"Logica"
318,"Rainbird/Magnetic Scrolls Ltd."
319,"Capcom"
321,"Hawksoft"
322,"Sha Soft, Inc."
324,"Micro Fun"
325,"Adventure International"
326,"Luna Software"
330,"Supernova*Software"
331,"Infogrames"
332,"Input 64/Verlag Heinz Heise GmbH"
334,"Golden Games"
335,"Graftgold/Firebird"
337,"Unicon Designs"
338,"Data East"
339,"The Sales Curve"
342,"MicroValue"
345,"Ozisoft"
346,"Millennium"
347,"Micromega"
349,"Screenplay"
351,"Pirate Software"
352,"Tronix"
355,"Victory Software"
356,"Andromeda Software"
357,"The Byte Engineers"
358,"Micromania"
359,"New World Computing"
362,"Mindcraft"
363,"Progame"
364,"Isis Hathor Digital Productions"
365,"Advanced Software Promotions"
366,"Terminal Software"
367,"SilverTime"
368,"FTL (Faster Than Light)"
370,"Champion Software"
371,"Binary Zone PD"
375,"Thundersoft"
376,"Micro Spec"
377,"Action Software [American Action]"
378,"MC Lothlorien"
380,"Siren"
382,"UMI (United Microware Industries), Inc."
383,"Scorpio Gamesworld"
385,"Lotus Soft"
386,"Artic Computing Ltd."
387,"Prism Leisure Corp. (PLC)"
388,"Brøderbund/Ultrasoft"
389,"Penguin Software"
390,"American Eagle Software"
394,"Apex Computer Productions"
396,"Euro-Byte"
397,"Creative Computing"
398,"Mr. Chip Software"
399,"Zigag"
400,"Donald Burden"
401,"London Software"
403,"The Modedeal Co."
405,"Philidor Software"
406,"Sagittarian Software Ltd."
407,"Ace Games"
409,"Methodic Solutions"
411,"Sunrise Software, Inc."
414,"Digicorp, Inc."
415,"Micro Application"
416,"Progressive Peripherals & Software"
418,"Mission Software Ltd."
419,"Demonware"
422,"Aztec Software"
425,"Mr. Micro Ltd."
428,"Hewson Consultants Ltd./Graftgold"
429,"Creative Sparks [Thorn Emi Computer Software]"
430,"Timeworks, Inc."
432,"Capital Software Designs [Pirate Software]"
433,"Scandsoft"
434,"Data Becker GmbH"
435,"Budgie [Alligata Software]"
436,"Oofray Software"
437,"SSG (Strategic Studies Group)"
438,"Bascom Consultants, Inc."
439,"Softek"
440,"Cyberia, Inc."
442,"MicrO Style/Core Design"
443,"Alpha Omega Software"
444,"Digital Excess"
445,"Paramount Software"
447,"JMP Software"
448,"Stack Computer Services Ltd."
449,"Landisoft"
450,"Program One, Inc."
451,"Simulmondo"
452,"Idea Software"
454,"Systems Editoriale s.r.l."
455,"Loriciels Ltd."
456,"Handic Software"
457,"Rider Fantasy Creations"
458,"Rainbird"
460,"HAL Labs"
461,"Cygnus Software"
463,"Argus Press Software (APS)/64 Tape Computing"
466,"Dynamics Marketing GmbH"
467,"Soft Control"
468,"CodeWriter Coproration"
469,"Craig Communications"
470,"Kele Line"
473,"S+S Soft Vertriebs GmbH"
474,"Bug-Byte"
475,"IJK Software Ltd."
477,"Billy Soft"
478,"Magic Carpet Software"
479,"Ralf Werner Software"
480,"Activision/Sega"
481,"Romik Software"
483,"Nibbles & Bits, Inc."
484,"Aardvark Software"
485,"Big G"
491,"MA Soft"
494,"X-ample Architectures"
495,"Databyte Ltd."
497,"Shades/Grandslam Entertainment"
498,"Activision/Interplay Productions"
499,"THS Software Studio"
500,"Psytronik Software"
503,"Ovosoft"
504,"F°451 Software"
506,"Free Spirit Software"
507,"Ocean/Psygnosis"
508,"Bantam Electronic Publishing"
510,"Oracle Developments"
516,"MicrO Style"
518,"Gargoyle Games"
519,"Firebird/Ultimate"
523,"Logotron"
524,"Enigma Variations"
525,"D&H Games"
526,"Krisalis Software Ltd."
527,"BIW"
528,"Impressions"
531,"Silverbird"
532,"Abstract Concepts"
534,"Miles Computing"
535,"Capcom/Go!"
537,"Bigtime Software"
538,"Earthware Computer Services"
539,"576 KByte"
541,"Reelax Games"
542,"Loadstar/J & F Publishing, Inc."
543,"Play Byte"
544,"LK Avalon (Laboratorium Komputerowe Avalon) "
545,"Kreciki/Eagleware"
546,"Amersoft"
547,"Softgraf SRL"
548,"Avant-Garde Publishing Corporation"
549,"MIS Software Development"
550,"Spotsoft"
551,"Cyber Systems"
552,"Viz Design"
554,"Omnisoft"
555,"Odesta"
556,"Richwood Software"
558,"Electric Software"
559,"Softfirm"
561,"Animation, Inc."
563,"Players Premier"
564,"Creative Pixels/JC Hilty Productions"
567,"German Design Group"
570,"Telarium Corp. [Spinnaker Software]"
571,"Atlas Adventure Software"
573,"Challenge Software"
576,"Demonic Labs"
577,"Butterfly Productions"
578,"Direct Design"
579,"TimSoft"
581,"Starbyte Software"
583,"Out of Order Softworks"
584,"Langnese"
587,"COMPUTE!'s Gazette/COMPUTE! Publications, Inc."
592,"CRR Corp"
596,"Screwsoft"
598,"Commodore Disc/Alive Designs"
600,"Sprites"
601,"Walt Disney Co./Amblin Entertainment, Inc."
602,"Atlantic Software"
603,"Freeline Dreams"
604,"Igelsoft"
605,"Software 2000"
607,"Three-Sixty Pacific, Inc."
611,"Ascon Software"
613,"C&O Micro Systems, Inc."
614,"Turgy Magic"
615,"Mentiss Software"
616,"Data Media"
617,"Micro Mart Software"
618,"Computermat"
620,"Fantasy Computerware"
621,"Sunsoft"
623,"(Created with GKGM)"
624,"Mnemonic Productions"
626,"(Created with SEUCK)"
627,"Flatline Designs"
630,"Silverrock Productions"
631,"Wizard Developments"
634,"Computer Workshops, Inc."
635,"Commodore Zone/Binary Zone PD"
636,"Cherry Software"
637,"Electric Boys Entertainment Software (EBES)"
639,"Computer Gamer [Argus Specialist Publications Ltd.]"
640,"Sulis Software Ltd."
641,"ECP (Entertainment and Computer Products Pty. Ltd.)"
642,"Nanosec Corporation"
643,"Protovision"
647,"Cosmicsoft, Inc."
649,"Sentient Softworks"
650,"Graftgold/Rainbird"
655,"Electronic Arts/Interplay Productions"
657,"Eurogold"
658,"Anglosoft"
663,"Cyberstyle"
664,"Assassin Software"
665,"KAB Software"
666,"reLINE Software"
669,"Sir-Tech Software, Inc."
671,"US Gold/Capcom"
673,"The Learning Company"
675,"Wilson Software"
676,"Softel"
677,"Crown Soft"
679,"Alma Compute"
681,"Capcom/U.S. Gold"
692,"ACE/Sega"
693,"Probe Software/Acclaim"
697,"Brian Howarth"
701,"Cheetahsoft"
702,"Interceptor Software"
703,"Intercept Software"
704,"Robert Wentworth"
705,"Eagleware International"
707,"Ariolasoft/Time Data"
708,"Elite/Hit-Pak"
709,"Special-Soft"
710,"Parker Bros/Konami"
715,"Colin Doughty"
717,"Mike Singleton"
718,"CDS (Commercial Data Systems Ltd.)"
724,"Molotow Cocktails"
730,"Blue Lion Software"
731,"Big Sky Software"
732,"Absolute Entertainment, Inc."
733,"Bobco"
741,"Uki Software"
742,"Tronic Verlag GmbH"
747,"Softgold"
748,"Nationsoft Ltd."
755,"Lothrorien"
773,"Settle Light Software"
775,"Imagez"
781,"Database Software"
783,"Voyager"
786,"A+M Associates"
790,"Gilsoft"
791,"Firebird/Jawx"
794,"Firebird/Taito"
795,"Demonware/X-ample Architectures"
796,"Blue Ribbon Software"
799,"Infogrames/Cobra Soft"
800,"ESP/Electronic Zoo"
801,"Datamagic"
804,"Infinite Games"
810,"XCS International"
811,"International Software"
812,"Welardsoft"
813,"CSJ (Computer Soft Jonigk)"
814,"GameTek"
815,"Commonwealth Computer, Inc."
818,"HesWare (Human Engineered Software)"
822,"Hayden Book Company, Inc."
823,"Simulations Canada"
826,"Abrasco Ltd."
830,"Limbic Systems UK Ltd."
834,"The Software Group, Inc."
836,"Elwood Computers"
848,"Topo Soft"
851,"Video Images Ltd."
855,"The Best89"
856,"Impact"
857,"Eurosoft"
858,"Goldline Software"
859,"Bluefire Software"
864,"Pal Developments"
869,"Superdata, Inc."
876,"1 Step Software, Inc."
878,"Vril"
879,"Home Help Worker"
880,"RadarSoft/MCN"
881,"Rack It [Hewson]"
882,"Caesar Software"
883,"(Preview)"
887,"Game Designers' Workshop (GDW)"
888,"Brookfield Software"
891,"SAS Designs"
893,"Chromazone"
895,"Star Design"
896,"Zion Systems"
897,"Krentek Software"
898,"Novotrade"
901,"Starvision"
902,"Global Software"
906,"Art Game"
907,"Twice Effect"
908,"Ryan Thompson"
909,"Grana Software"
915,"M&P Software"
916,"Magic Disk/Electric Brains"
920,"Oliver Software"
921,"Susie Software"
922,"Dorcas Software"
923,"Dream Software"
924,"Krypton Force"
927,"Imagine/Konami"
928,"Alpha Software Ltd."
930,"Jawx"
931,"Taito"
933,"SNK Electrocoin"
934,"Domark/Atari"
937,"Paradize Software"
938,"Ascraeus Productions"
939,"Explosive Design"
942,"Bob Sierhuis"
943,"Cybertech Laboratories"
944,"Bobosoft"
945,"Stratos Soft"
946,"Brunswick Publications (Public Domain)"
982,"Ordilogic/Lankhor"
983,"Destiny Software Ltd."
987,"Mosaic Publishing"
988,"Unicornsoft"
989,"The Software Toolworks"
990,"Ninjutsu Design"
1030,"MB Software"
1031,"Yanney Software"
1034,"Century Art-Studios"
1036,"House Designs"
1038,"Opera Soft"
1041,"Trash Productions"
1045,"First Blood"
1047,"Mirage"
1051,"CP Verlag/Cream Software"
1052,"Logo Software GmbH"
1053,"Digital Magic Software"
1054,"Trade Mark"
1055,"Thundervision"
1057,"Cult Games"
1058,"Polsoft Company"
1062,"More.Gore Software"
1063,"Deltek"
1064,"Binary Zone/Cyber Systems"
1068,"Rom Software"
1070,"Technoart/ArtGame"
1071,"CP Verlag/Electric Brains"
1073,"Mountain Valley Software"
1075,"Byte Brothers"
1076,"Paranormal Activities"
1077,"Orion Software"
1078,"Arcana Software Design"
1086,"Art Concepts"
1087,"Depredators Design"
1089,"Blue Chip Software"
1093,"MaBo-Soft"
1097,"Reslain Software"
1099,"Patriot Games"
1100,"Substance"
1101,"MUS Software"
1106,"CP Verlag/Double Density"
1126,"TV Games"
1128,"Esther Barend"
1130,"Alternative Software/Top Ten Software"
1131,"Magic Bytes/Bluestone Budget Productions"
1133,"LinEL"
1134,"Future Games"
1136,"Microsphere"
1166,"Funworld Software"
1169,"Etc Developments"
1171,"Microworld"
1172,"Crystal Software Electronics"
1175,"American Greetings"
1179,"DesignWare, Inc."
1180,"Dreamrider Software"
1222,"Paralyze"
1223,"Mario Moeller"
1225,"Haip Software"
1232,"Chimera Designs"
1233,"Novo Soft"
1234,"Paragon Software"
1235,"IQ Software Ltd."
1236,"Goliath Games"
1238,"E. Harbers Software"
1240,"Cubic X Softwares"
1242,"Argus Press Software (APS)/Starcade"
1282,"Fantasy Software Inc."
1283,"Xenon Designs"
1285,"Readysoft, Inc."
1287,"Bear Software"
1289,"Nogamas Software"
1290,"Coderz"
1293,"Bedroom Software"
1297,"Triad Software"
1298,"Abraxas Software"
1301,"Sven's Software"
1303,"Nemesis Productions"
1359,"Signal Computer Consultants Ltd."
1362,"Powersoft"
1364,"ICA (Italien Computer Adventures)"
1365,"ItalVideo SRL"
1366,"Profiteam Software"
1367,"Trantal Software Systems"
1368,"Duck Soft"
1369,"Your Commodore [Argus Specialist Publications Ltd.]"
1372,"A&J Software"
1379,"OLS Software"
1380,"PDPD Software"
1382,"Microïds"
1383,"Bones Park/Eclipse"
1390,"Living Colors Software"
1391,"SNK"
1392,"Lithium Netware"
1406,"Kelline"
1408,"Wild Boys Software"
1409,"Gold Disk, Inc."
1418,"BMB"
1419,"Steam-Powered Computer Company Ltd."
1422,"Team Enterprises"
1423,"The Code Works"
1424,"MR-Soft"
1425,"US Gold/Adventure Soft UK"
1426,"Argus Press Software (APS)/MC Lothlorien"
1429,"Streetwise"
1430,"Mindscape, Inc./U.S. Gold"
1433,"Domark/Tengen"
1436,"SVS"
1439,"Central Solutions"
1442,"Matoga Software"
1443,"A&S Software"
1444,"Doctorsoft"
1445,"Software Investments Plus, Inc."
1446,"Ariolasoft/Reaktör Software"
1447,"Basys Soft"
1450,"Action Replay"
1451,"ESP Software"
1458,"Bomico"
1460,"CPL"
1461,"Applications Software Specialists"
1462,"Muekra Datentechnik"
1463,"Bizarre Bulletin Boards"
1464,"TYMAC Software"
1465,"Micro-Ed, Inc."
1468,"Stealth Labwork"
1470,"Bignose Software"
1471,"The Big Apple"
1472,"Laserlight Software"
1473,"Happy Software/Markt & Technik"
1474,"Samar Productions"
1476,"Andy Labs"
1478,"Lethal Productions"
1480,"Graunitz"
1481,"ACW"
1482,"Psygnosis/Psyclapse"
1483,"New Imagination"
1484,"Software Agency"
1485,"Keypunch Software"
1486,"Imagitech Design Ltd."
1487,"US Gold/Big Five Software"
1488,"Richard Shepherd Software"
1489,"Your Computer [Business Press International Ltd.]"
1490,"Peaksoft"
1491,"Dreamline Kitchen"
1493,"Humanoid Software"
1496,"New Concepts"
1497,"Entropy Engineering"
1500,"Henson Associates"
1501,"Koalaware"
1502,"Single Density Software"
1503,"Winkel Software Productions"
1611,"MCGT-Software"
1612,"Stö-Soft"
1613,"Comp-u-soft"
1614,"Electronic Arts/Software Country"
1615,"Digital Marketing"
1616,"Screen 7"
1617,"Bratpack"
1618,"Ufo Software"
1619,"Sonix"
1620,"Austriasoft"
1621,"Multisoft"
1622,"Cream Software"
1623,"The Guild Adventure Software"
1624,"OHB Software"
1625,"Machillan Software"
1626,"Tonny Espeset"
1627,"C&L"
1629,"Rainbow Arts/Golden Goblins"
1630,"Advantage*Artworx"
1631,"Microleague Sports"
1632,"Fisher-Price [Spinnaker Software]"
1633,"Roklan Corp."
1635,"Techno Tribal Designs"
1636,"Diamond Software"
1637,"Balistic Software"
1638,"Mike Doran Software"
1639,"Cursor Magazine"
1641,"Gremlin Graphics Software Ltd./Core Design"
1642,"Commodore/F°451 Software"
1643,"ET Software"
1644,"Excellent Software Development"
1645,"Technodream Software"
1648,"Smash Designs"
1649,"MAD (Mastertronic's Added Dimension)"
1650,"Mastertronic/Entertainment USA"
1651,"Imagine/Taito"
1652,"Ocean/Graftgold"
1654,"Calisto Software Ltd."
1657,"General Masters Corporation"
1658,"CS Productions"
1659,"RTC"
1660,"Telegame Software"
1661,"Memory Soft"
1662,"Flash-Soft Production"
1709,"Kim Books"
1712,"Mesec Corp."
1713,"Fujisoft"
1714,"Rainbow-Soft"
1715,"Macrosoft"
1717,"Blacksoft"
1718,"Adersoft"
1719,"Tale Software"
1720,"Suncom"
1721,"Gameblaster"
1722,"Backroom Software"
1723,"Stephan de la Motte"
1724,"Hi Tech Expressions"
1725,"Titan Software Systems"
1726,"G Byte Fighters"
1727,"Art Project Studios"
1792,"Ocean/Tengen"
1793,"Fashion Design"
1794,"Sectechdesigns"
1795,"Rainbow Arts/Cyberstyle"
1796,"United-Software GmbH"
1797,"Eaglewing Software"
1798,"High Tech Software"
1799,"Technical Solitude"
1801,"Microclassic"
1804,"NET Software Ltd."
1806,"Commodore User Gang"
1807,"Play Byte/Psygnosis"
1808,"Rainbird/Microprose"
1810,"Americana Software"
1814,"Rainbird/Level 9 Computing"
1815,"Don't Ask Software"
1816,"Abbex Software"
1817,"Gnomix Software"
1820,"Bulldog Software"
1821,"Domark/Taito"
1822,"Bally Midway/Sega"
1823,"Advanced Ideas, Inc."
1826,"vic Tokai, Inc."
1830,"Mania-Soft"
1831,"Proteus Developments"
1832,"Europa Computer-Club"
1834,"PM Video Games"
1835,"Avantage"
1836,"Amok"
1837,"System"
1838,"Gardé Games"
1839,"ODS Electronics Hannover"
1840,"Future Computer Applications"
1841,"Tentaclesoft"
1844,"Pretzel Logic"
1846,"DigiTek Software"
1848,"Avalon"
1849,"PCSL Software GmbH"
1850,"Flying Fox Software"
1851,"Iyama Software"
1852,"Capstone"
1853,"LWTCDI Software"
1854,"Joker Software"
1855,"Artgame"
1857,"Fairway Software"
1859,"Games Workshop"
1861,"Legend"
1862,"Number 9 Software"
1865,"Piranha/Macmillan Ltd."
1870,"Word Publishing, Inc."
1871,"Red Arrow Software"
1872,"Real Image Software"
1873,"Blue Sky Software"
1874,"Edisoft"
1875,"PAKO Software"
1880,"Commodore/Adventure International"
1881,"Rainbow Systems"
1882,"64'er/Markt & Technik"
1883,"Happy Computer/Markt & Technik"
1884,"Game On/CP Verlag"
1885,"CP Verlag"
1886,"Golden Disk 64/CP Verlag"
1887,"Anger Productions"
1889,"(Public Domain)"
1890,"Asgaard Designs"
1891,"SecTech Developments"
1892,"64'er/Magna Media"
1893,"Melody Hall Publishing Corp."
1895,"Computer Novels"
1896,"C+VG (Computer & Video Games Magazine)"
1898,"ABC Soft"
1901,"Hitech Games Plus"
1902,"Topologic, Inc."
1903,"Funk Software"
1904,"Silicon Studios"
1906,"Centuri-Soft"
1907,"Commodore Dossier"
1908,"Soft Enterprises"
1909,"Aackosoft"
1911,"Software Resources International"
1912,"Øyvind Harboe"
1913,"Hornysoft"
1915,"Filorux Duo"
1916,"Mantua Soft"
1918,"R.V.Rij Software"
1919,"Andromp Software"
1921,"HC - Mein Home-Computer"
1923,"Topsoft"
1924,"Minnesota Educational Computing Corporation (MECC)"
1926,"Professional Software, Inc."
1927,"Aventuras AD"
1928,"Cubix-X Soft"
1929,"Arcus"
1930,"Greensoft-Novotrade"
1931,"Salamander Software"
1932,"Coma Software House/Everlasting Style"
1934,"Folklife Terminal Club"
1935,"Newpart Design Ltd."
1936,"Biuro Informatyczno Wydawnicze"
1937,"Therapy"
1939,"Interface Publications"
1940,"SoftSide Publications"
1942,"Different"
1943,"Modern Arts"
1944,"Softlight"
1945,"Suzy Soft"
1946,"StarSoft"
1947,"Dan McCabe"
1950,"Logidisque, Inc."
1951,"Educative Software"
1952,"Wicked Software"
1953,"Enlightenment, inc."
1954,"R&M Software"
1955,"Abacus Software"
1956,"Det Nye Computer"
1957,"Dogsoft"
1958,"Heitronic"
1960,"Steve Grumette"
1962,"SoedeSoft"
1963,"Brøderbund/Synapse Software"
1964,"Kindersoft"
1965,"Majestic Software"
1967,"KCS"
1968,"Sierra Online, Inc./Walt Disney Co."
1969,"Walt Disney Co."
1970,"Walt Disney Co./Westwood Associates"
1972,"Midas Marketing"
1973,"Dynavision Productions"
1974,"Cymbal Software, Inc. [PSS]"
1976,"Le Cock Software"
1978,"Malmbergs Educatieve Software (MES)"
1979,"American Peripherals"
1980,"Duckiesoft"
1981,"Street Games"
1982,"Nocturnal Software"
1984,"Eternal"
1985,"First Row Software"
1988,"Duckworth Home Computing"
1989,"Hodder and Stoughton"
1990,"Sentient Software"
1992,"Macmillan Software"
1993,"Emotional Pictures"
1994,"Coleco Electronics"
1996,"Domark/Incentive"
1998,"(Created with PCS)"
1999,"Imagine/Dinamic"
2000,"Melbourne House/Psygnosis"
2001,"Infocom/Westwood Associates"
2003,"Richard Wilcox Software"
2004,"Titus Software/Palace Software"
2005,"Commodore Force Magazine"
2006,"ERE Informatique/Infogrames"
2007,"Genias/LinEL"
2008,"Magic Bytes/Ariolasoft"
2009,"Virgin Mastertronic/Taito"
2010,"Quick Soft [Creative Sparks]"
2012,"Virgin Mastertronic/Probe Software"
2013,"Interactive Technology"
2014,"Cinemaware [Mirrorsoft]"
2015,"Mindscape/ICOM Simulations, Inc."
2016,"Johnson Scanatron Ltd."
2017,"SSI (Strategic Simulations, Inc.)/Westwood Ass."
2018,"Alternative Software/Enigma Variations"
2020,"TV Games/Domark"
2021,"Digital Intergration/Enigma Variations"
2022,"Activision/Dynamix"
2023,"Microillusions/Mediagenic Software"
2024,"Epyx/Infogrames"
2025,"ImageWorks/Vivid Image"
2026,"Firebird/Beam Software"
2027,"Mind Games [Argus Press Software]"
2029,"US Gold/Software Creations"
2030,"Activision/Vivid Image"
2031,"US Gold/Lucasfilm Games"
2032,"(Created with 3DCK)"
2033,"Silverbird/Probe Software"
2034,"Virgin Mastertronic/Graftgold"
2035,"US Gold/Chip Software"
2036,"HAL Unlimited [Midas Marketing]"
2037,"Byte-Back/MC Lothlorien"
2038,"Blade Software"
2039,"Domark/Elite"
2040,"US Gold/Topo Soft"
2041,"Electronic Arts/Westwood Associates"
2042,"Alternative Software/Dinamic Software"
2043,"MicroProse Software/Sensible Software"
2044,"Eurogold [Micropool]"
2045,"Virgin Mastertronic/Core Design"
2046,"21st Century Entertainment Ltd. [Hewson]"
2047,"Firebird/Probe Software"
2048,"Tiger Developments Ltd."
2049,"Zeppelin Games/Impulze"
2050,"US Gold/Lucasarts Entertainment Company"
2051,"Virgin Mastertronic/The Sales Curve"
2052,"Bug-Byte [Argus Press Software]"
2053,"Durell Software/Again Again"
2054,"Ocean/Taito"
2055,"Genias/Soundware"
2056,"Electronic Arts/Lucasfilm Games"
2057,"Magic Bytes/Gremlin Graphics"
2058,"Alternative Software/MC Lothlorien"
2059,"Electronic Arts/Dynamix"
2061,"Activision/Data East"
2062,"Ocean/Data East"
2063,"Ocean/Probe Software"
2064,"Elite/Encore"
2065,"Electronic Arts/Binary Systems"
2066,"Software Invasion"
2067,"ActionSoft"
2068,"Ocean/Starbyte Software"
2069,"Palace Software/Outlaw Productions"
2070,"Element 114/Shockwave Productions"
2071,"Atlantis Software/Neptune Computing"
2072,"Micro Selection Plus"
2073,"Elite/Sega"
2074,"Mosaic Publishing/Oxford Digital"
2077,"RUN/CW Communications, Inc."
2078,"Ahoy!/Ion International, Inc."
2079,"Scholastic, Inc."
2081,"Lance Haffner Games"
2082,"Electronic Arts/Micro Forte"
2083,"ArtCore Labs"
2085,"NDPS Programs"
2086,"Bilpet"
2089,"Computer Professionals, Inc."
2092,"Softcell"
2094,"C.P. White"
2095,"Microcomputing"
2096,"PiSoft"
2097,"Manutar"
2098,"Delta"
2099,"System 4 Software"
2100,"SQS (Superior Quality Software)"
2101,"Puffin Books Ltd."
2103,"Ariolasoft/Grandslam Entertainment Ltd."
2104,"Piep Soft"
2105,"RF"
2106,"Mindscape, Inc./Sega"
2107,"Compass Software"
2109,"Syntax Magazin/Syntax-GmbH"
2111,"Piersoft Milano"
2112,"Venom"
2114,"CompuCom"
2115,"Ultra Software/Konami"
2117,"Edicola"
2118,"Edicola/Softgraf SRL"
2119,"Edicola/Load'n'Run"
2120,"Firebird/Odin Computer Graphics"
2121,"Hobby-Soft"
2122,"IIT"
2123,"CHV Products"
2124,"Network Software"
2126,"Maurice Soft"
2127,"TSI (Turbo Software, Inc.)/Creative Equipment"
2128,"Coplin Software"
2129,"Floppy Magazine 64/Megasystems Oy"
2130,"Five Ways Software"
2131,"Vortex Software House"
2132,"Lippe Enterprises"
2133,"Mystery Arts"
2134,"Sunburst Communications"
2135,"Davidson & Associates, Inc."
2136,"UKY Company"
2138,"Herdiesoft"
2139,"McGraw-Hill Ryerson Ltd."
2140,"Springboard Software, Inc."
2141,"PUF"
2143,"Attacker Soft"
2144,"Thunders"
2145,"Central Computing"
2147,"Tunstallsoft"
2148,"Software Productions"
2149,"Adventure Soft UK"
2151,"Elsoft"
